Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
235	900	1337	1	04/04/24 02:19:26 PM	
236	900	1374	1	04/04/24 02:19:28 PM	
237	900	1377	1	04/04/24 02:19:29 PM	
238	900	1374	1	04/04/24 02:19:30 PM	
239	900	1408	1	04/04/24 02:19:31 PM	
240	900	1373	1	04/04/24 02:19:32 PM	
241	900	1363	1	04/04/24 02:19:33 PM	
242	900	1402	1	04/04/24 02:19:34 PM	
243	900	1378	1	04/04/24 02:19:36 PM	
244	900	1373	1	04/04/24 02:19:37 PM	
245	900	1354	1	04/04/24 02:19:38 PM	
246	900	1394	1	04/04/24 02:19:39 PM	
247	900	1401	1	04/04/24 02:19:40 PM	
248	900	1390	1	04/04/24 02:19:41 PM	
249	900	1359	1	04/04/24 02:19:42 PM	
250	900	1379	1	04/04/24 02:19:44 PM	
251	900	1402	1	04/04/24 02:19:45 PM	
252	900	1364	1	04/04/24 02:19:46 PM	
253	900	1388	1	04/04/24 02:19:47 PM	
254	900	1338	1	04/04/24 02:19:48 PM	
255	900	1359	1	04/04/24 02:19:49 PM	
256	900	1387	1	04/04/24 02:19:50 PM	
257	900	1393	1	04/04/24 02:19:52 PM	
258	900	1385	1	04/04/24 02:19:53 PM	
259	900	1384	1	04/04/24 02:19:54 PM	
260	900	1378	1	04/04/24 02:19:55 PM	
261	900	1392	1	04/04/24 02:19:56 PM	
262	900	1387	1	04/04/24 02:19:57 PM	
263	900	1362	1	04/04/24 02:19:58 PM	
264	900	1375	1	04/04/24 02:20:00 PM	
265	900	1369	1	04/04/24 02:20:01 PM	
266	900	1350	1	04/04/24 02:20:02 PM	
267	900	1402	1	04/04/24 02:20:03 PM	
268	900	1337	1	04/04/24 02:20:04 PM	
269	900	1389	1	04/04/24 02:20:05 PM	
270	900	1397	1	04/04/24 02:20:06 PM	
271	900	1392	1	04/04/24 02:20:08 PM	
272	900	1416	1	04/04/24 02:20:09 PM	
273	900	1363	1	04/04/24 02:20:10 PM	
274	900	1387	1	04/04/24 02:20:11 PM	
275	900	1374	1	04/04/24 02:20:12 PM	
276	900	1359	1	04/04/24 02:20:13 PM	
277	900	1401	1	04/04/24 02:20:14 PM	
278	900	1394	1	04/04/24 02:20:16 PM	
279	900	1363	1	04/04/24 02:20:17 PM	
280	900	1396	1	04/04/24 02:20:18 PM	
281	900	1403	1	04/04/24 02:20:19 PM	
282	900	1366	1	04/04/24 02:20:20 PM	
283	900	1379	1	04/04/24 02:20:21 PM	
284	900	1408	1	04/04/24 02:20:22 PM	
285	900	1408	1	04/04/24 02:20:24 PM	
286	900	1390	1	04/04/24 02:20:25 PM	
287	900	1389	1	04/04/24 02:20:26 PM	
288	900	1349	1	04/04/24 02:20:27 PM	
289	900	1372	1	04/04/24 02:20:28 PM	
290	900	1374	1	04/04/24 02:20:29 PM	
291	900	1407	1	04/04/24 02:20:30 PM	
292	900	1374	1	04/04/24 02:20:32 PM	
293	900	1371	1	04/04/24 02:20:33 PM	
294	900	1380	1	04/04/24 02:20:34 PM	
295	900	1373	1	04/04/24 02:20:35 PM	
296	900	1342	1	04/04/24 02:20:36 PM	
297	900	1391	1	04/04/24 02:20:37 PM	
298	900	1411	1	04/04/24 02:20:38 PM	
299	900	1341	1	04/04/24 02:20:40 PM	
300	900	1393	1	04/04/24 02:20:41 PM	
301	900	1383	1	04/04/24 02:20:42 PM	
302	900	1415	1	04/04/24 02:20:43 PM	
303	900	1378	1	04/04/24 02:20:44 PM	
304	900	1365	1	04/04/24 02:20:45 PM	
